case,group,split,buggy_path,fixed_path,buggy_lines,fixed_lines,lines_deleted,lines_added,lines_modified,total_lines_changed,api_drift,identifier_jaccard,qchecker_findings,qchecker_rules,qchecker_ast_ok,rule_apr_lines_f1,rule_apr_lines_p,rule_apr_lines_r,rule_apr_rules,rule_apr_num_edits
StackExchange/1,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/1/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/1/fix.py,12,13,0,2,8,10,0.0,0.5909,0,,False,0.0,0.0,0.0,,0
StackExchange/10,StackExchange,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/10/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/10/fix.py,30,32,0,1,9,10,0.0,0.7838,0,,True,0.2222,1.0,0.125,"R1,R7",2
StackExchange/12,StackExchange,val,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/12/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/12/fix.py,33,33,0,0,2,2,0.0,1.0,4,"QC02,QC04",True,0.0,0.0,0.0,"R1,R6",4
StackExchange/13,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/13/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/13/fix.py,48,48,1,0,3,4,0.0,0.9825,1,QC04,True,0.0,0.0,0.0,R6,1
StackExchange/14,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/14/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/14/fix.py,61,60,1,0,1,2,0.0,1.0,1,QC04,True,0.0,0.0,0.0,R6,1
StackExchange/15,StackExchange,val,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/15/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/15/fix.py,49,45,2,0,5,7,0.0,0.9333,3,"QC02,QC04,QC10",True,0.0,0.0,0.0,,0
StackExchange/16,StackExchange,val,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/16/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/16/fix.py,11,9,0,3,8,11,0.0,0.6667,0,,True,0.0,0.0,0.0,,0
StackExchange/17,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/17/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/17/fix.py,27,4,0,0,25,25,0.0,0.1471,0,,True,0.0769,1.0,0.04,R6,1
StackExchange/18,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/18/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/18/fix.py,10,8,0,0,8,8,0.0,0.1622,0,,False,0.0,0.0,0.0,,0
StackExchange/20,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/20/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/20/fix.py,19,19,0,0,1,1,0.0,1.0,0,,True,0.0,0.0,0.0,,0
StackExchange/3,StackExchange,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/3/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/3/fix.py,19,21,0,0,5,5,0.0,0.6562,2,"QC04,QC10",True,0.0,0.0,0.0,"R1,R6",3
StackExchange/4,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/4/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/4/fix.py,59,65,0,18,14,32,0.0,0.9385,1,QC04,True,0.0,0.0,0.0,"R1,R6",2
StackExchange/5,StackExchange,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/5/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/5/fix.py,16,16,1,0,5,6,0.0,0.8889,2,QC04,True,0.0,0.0,0.0,,0
StackExchange/6,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/6/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/6/fix.py,23,23,0,2,11,13,0.0,0.561,1,QC02,True,0.0,0.0,0.0,,0
StackExchange/7,StackExchange,val,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/7/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/7/fix.py,7,15,0,4,6,10,0.0,0.4783,3,"QC01,QC03,QC04",True,0.0,0.0,0.0,,0
StackExchange/8,StackExchange,val,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/8/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/8/fix.py,49,49,0,0,1,1,0.0,0.9851,3,"QC02,QC03,QC04",True,0.0,0.0,0.0,R6,1
StackExchange/9,StackExchange,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/9/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange/9/fix.py,34,34,0,0,1,1,0.0,1.0,1,QC04,True,0.0,0.0,0.0,"R1,R7",2
StackExchange_2/bug_1,StackExchange_2,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange_2/bug_1/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange_2/bug_1/fixed.py,5,5,0,0,1,1,0.0,0.7143,0,,True,1.0,1.0,1.0,R4,1
StackExchange_2/bug_2,StackExchange_2,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange_2/bug_2/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/StackExchange_2/bug_2/fixed.py,10,10,0,0,1,1,0.0,1.0,0,,True,0.0,0.0,0.0,,0
Terra-0-4000/10,Terra-0-4000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/10/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/10/fix.py,21,24,0,1,4,5,0.0,0.7143,0,,True,0.0,0.0,0.0,,0
Terra-0-4000/11,Terra-0-4000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/11/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/11/fix.py,12,11,0,0,4,4,0.0,0.7273,1,QC10,True,0.4,1.0,0.25,R6,1
Terra-0-4000/13,Terra-0-4000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/13/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/13/fix.py,15,23,1,9,0,10,0.0,0.8333,0,,True,0.0,0.0,0.0,,0
Terra-0-4000/16,Terra-0-4000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/16/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/16/fix.py,10,9,1,0,2,3,0.0,0.8095,0,,True,0.0,0.0,0.0,,0
Terra-0-4000/22,Terra-0-4000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/22/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/22/fix.py,36,37,0,1,2,3,0.0,1.0,1,QC10,True,0.0,0.0,0.0,,1
Terra-0-4000/24,Terra-0-4000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/24/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/24/fix.py,12,13,0,1,2,3,0.0,1.0,0,,True,0.0,0.0,0.0,,0
Terra-0-4000/8,Terra-0-4000,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/8/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-0-4000/8/fixed.py,6,6,0,0,5,5,0.0,0.75,3,"QC04,QC05,QC06",True,0.5714,1.0,0.4,"R2,R3",1
Terra-4001-6000/Bug_11,Terra-4001-6000,test,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-4001-6000/Bug_11/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-4001-6000/Bug_11/fixed.py,4,5,0,0,2,2,0.0,0.5,0,,True,0.0,0.0,0.0,,0
Terra-4001-6000/Bug_5,Terra-4001-6000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-4001-6000/Bug_5/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-4001-6000/Bug_5/fixed.py,18,18,0,0,2,2,0.0,1.0,0,,True,0.0,0.0,0.0,,0
Terra-4001-6000/Bug_8,Terra-4001-6000,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-4001-6000/Bug_8/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/Terra-4001-6000/Bug_8/fixed.py,10,10,0,0,1,1,0.0,0.8824,0,,True,0.0,0.0,0.0,,0
stackoverflow-6-10/bug_1,stackoverflow-6-10,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/stackoverflow-6-10/bug_1/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/stackoverflow-6-10/bug_1/fixed.py,26,26,0,0,1,1,0.0,1.0,1,QC02,True,0.0,0.0,0.0,R6,1
stackoverflow-6-10/bug_2,stackoverflow-6-10,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/stackoverflow-6-10/bug_2/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/stackoverflow-6-10/bug_2/fixed.py,16,16,0,0,1,1,0.0,0.9524,1,QC02,True,0.0,0.0,0.0,,0
stackoverflow-6-10/bug_3,stackoverflow-6-10,train,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/stackoverflow-6-10/bug_3/buggy.py,/home/claude/grap4q_extract/q1j_paper+code/Bugs4Q-Database/stackoverflow-6-10/bug_3/fixed.py,30,47,0,0,26,26,1.0,0.5072,3,"QC02,QC04,QC10",True,0.0,0.0,0.0,"R1,R6",2
